"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fbf9b3576df93ecf14bfcaa193d56a483acbf867d.svg",Conversion to SVG,0.085,5172 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F880b12d25194be846071c0548b79303c7e85505a.svg",Conversion to SVG,0.057,5300 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fe0b0302f39b8c4d1271ca9e2456c08f907f13c5f.svg",Conversion to SVG,0.12,5204 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F5c29865b53f9ba78dae966d86606cae9d403ee83.svg",Conversion to SVG,0.31,5416 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F39897f45a4f9d731362c308ea03f783e50aa4aca.svg",Conversion to SVG,0.604,5276 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fd535fa3c67556d0d37e578df47fc0584c359a950.svg",Conversion to SVG,0.202,5280 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fcb1a768106b2706e6e24f09f9500b18cf59aca7d.svg",Conversion to SVG,0.094,5236 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F3ffe94b82a301d84a0e05361b53263eb9df40cf4.svg",Conversion to SVG,0.759,5204 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fd7886037cc8b8e659c7fcbaf7ffe80cb81c9297c.svg",Conversion to SVG,0.118,5188 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F16653d29a399e6a12172eb19a8a8fdbd1f0a062b.svg",Conversion to SVG,0.125,5268 Kb
